,"icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon15_nx_[12, 1]","icon15_ny_[12, 1]",cluster_label,date
103,-0.644215809,-1.032656437,-0.039099909,0.57547688,-0.297394752,-0.607403147,-0.536141612,-0.842088913,-0.348443624,-0.837192509,-0.395072411,-1.609090935,-0.414184611,-0.577050505,-0.418355677,-0.201368558,-0.732119477,-1.415170576,-0.243419908,0.660512355,0,2011/09
104,-0.622986949,-1.040753849,0.12581285,0.712082746,-0.339852472,-0.586552312,-1.09126697,-0.628367852,-0.340537274,-0.751499119,-0.771962499,-1.498447395,-0.631266827,-0.479944826,-0.262283089,-0.121014398,-0.669677991,-1.240747266,0.011948963,0.629362625,0,2011/10
105,-0.534585244,-0.856904646,-0.388722429,0.736450895,-0.194861224,-0.427552041,-0.907677794,-0.490964897,-0.186456837,-0.757104046,-0.601758089,-1.467930274,-0.820458928,-0.311670488,-0.059083675,-0.052528008,-0.614084524,-1.066754132,0.161484806,0.610852448,0,2011/11
106,-0.308351583,-0.640248273,-0.891118038,0.836504538,-0.123392803,-0.397161443,-0.870387215,-0.365923147,0.29508344,-0.806751302,-0.635624658,-1.399355319,-0.427569376,-0.226432577,0.062064014,-0.091129888,-0.670736321,-0.86673541,0.097549206,0.484418955,0,2011/12
107,-0.076203724,-0.614032903,-1.592043955,1.075023923,-0.058834656,-0.441127858,-0.532468583,-0.219081646,0.24683603,-0.795225143,-0.839322109,-0.925973038,-0.275169816,-0.184351341,0.210603782,-0.123152621,-0.683436284,-0.782003588,-0.05902142,0.437846185,0,2012/01
108,0.177920052,-0.681962596,-1.601382164,1.440255148,-0.125571718,-0.418429801,-0.124264369,-0.177620367,0.099603612,-0.844847094,-0.744134639,-0.880981794,-0.328771132,-0.142067669,0.403904694,-0.14643268,-0.708338173,-0.703155041,0.352295529,0.34237264,0,2012/02
109,0.223366,-0.685707649,-1.274669382,1.72544852,-0.212230292,-0.376614261,0.250571313,-0.254900041,-0.636994262,-0.759330835,-0.876301414,-0.347779884,-0.319059395,-0.069127702,0.552631226,-0.310013049,-0.772709556,-0.404727462,0.384667985,0.331314612,2,2012/03
110,-0.120093303,-0.605657143,-1.153272673,1.710632787,-0.237630219,-0.36708715,0.057581674,-0.265654416,-0.981138366,-0.573457279,-0.835213297,-0.453387846,-0.176371572,-0.044557119,0.561097868,-0.375893085,-0.901327812,-0.283898896,0.386597881,0.228110569,2,2012/04
111,-0.425577225,-0.574861674,-0.633881526,1.928933946,-0.015941153,-0.375804519,0.131104501,-0.282089631,-1.107266433,-0.321906123,-0.764678697,-0.485043665,-0.01089852,0.038251568,0.286181014,-0.423958815,-1.05659109,-0.118610479,-0.062196411,0.278099434,2,2012/05
112,-0.677895614,-0.496139649,-0.273986976,2.145893972,0.00360683,-0.377145653,0.002361736,-0.288213298,-1.26595372,-0.007018024,-0.705038673,-0.164234334,-0.218829292,0.058811403,-0.064873364,-0.46471157,-1.147918767,0.005672138,-0.308351583,0.319206451,2,2012/06
113,-0.621617345,-0.300017807,0.127867256,2.104078431,-0.090024272,-0.352904027,-0.217895472,-0.276181051,-1.179481911,0.252757066,-0.677397576,-0.238679913,-0.255248305,0.095490148,-0.448362453,-0.3957697,-1.772022357,0.195012399,-0.665008887,0.440642323,2,2012/07
114,-0.48826773,-0.248194371,0.500773042,2.052318257,-0.242486087,-0.326460917,-0.415678724,-0.280014669,-0.960656563,0.366171439,-0.553510679,0.089606872,-0.24055619,0.208853912,-0.611220807,-0.273410218,-1.667807952,0.610789187,-0.62734478,0.540746575,2,2012/08
115,-0.331572594,-0.177202845,0.831905909,1.75533303,-0.216837141,-0.283392808,-0.387788609,-0.127353154,-0.743947874,0.576602926,-0.164294156,0.056116483,-0.223124868,0.329416781,-0.937248787,-0.081147298,-0.856877941,0.851434141,-0.475505512,0.594227449,2,2012/09
116,0.080740431,-0.221624739,1.246024322,1.621991433,-0.196666611,-0.230683719,-0.729131251,0.073437353,-0.707279843,0.665547933,-0.10502766,0.081382938,0.045566513,0.296192089,-1.038599475,-0.010181075,-0.820521183,0.950058086,-0.07377579,0.596378324,2,2012/10
117,0.220066499,-0.257012959,1.466406039,1.35663672,-0.220261151,-0.167169645,-0.648449131,0.186535421,-0.459879577,0.786452412,-0.093074753,0.112203712,0.146045635,0.284185145,-1.067859194,0.40099031,-0.333564745,1.052060169,0.257232569,0.564127851,2,2012/11
118,0.26252422,-0.283671157,1.263704663,1.043165668,-0.301130035,-0.162096111,-0.564405256,0.289018288,-0.303246696,0.807796683,-0.117789878,0.202844114,0.252687974,0.253414981,-1.158688834,0.573439875,0.001116641,1.022782965,0.470828521,0.448398125,2,2012/12
119,0.080740431,-0.307786261,1.299999166,0.711045265,-0.336490717,-0.025110678,-0.109011962,0.383277221,-0.073900299,0.921843667,-0.058710147,0.246544833,0.37788222,0.160231485,-0.738469459,0.720369941,0.19647196,0.999996342,0.592411993,0.421474231,2,2013/01
120,-0.335432387,-0.195459978,1.72152589,0.285576888,-0.27641491,0.033405774,0.078686025,0.383277221,-0.021606332,0.867616313,-0.052858203,0.218406327,0.491310324,0.08139559,-0.465544757,0.681565626,0.344326925,0.934622395,0.639414308,0.206918124,2,2013/02
