,date,icon01_x,icon01_y,icon02_x,icon02_y,icon03_x,icon03_y,icon04_x,icon04_y,icon05_x,icon05_y,icon06_x,icon06_y,icon07_x,icon07_y,icon08_x,icon08_y,icon11_x,icon11_y,icon15_x,icon15_y,icon01_nx,icon01_ny,icon02_nx,icon02_ny,icon03_nx,icon03_ny,icon04_nx,icon04_ny,icon05_nx,icon05_ny,icon06_nx,icon06_ny,icon07_nx,icon07_ny,icon08_nx,icon08_ny,icon11_nx,icon11_ny,icon15_nx,icon15_ny
176,2017/10,264.16259442138676,264.93264374465946,264.7421944071452,185.99296265360516,295.585193649292,269.0910438021342,273.64319418843587,259.06304366353356,267.6401943359375,229.8364832595825,222.1622954533895,249.4766435310364,260.7056945063273,256.13008362299604,270.3725942687988,264.29600373586015,266.7914943567912,260.89568368886313,270.5381942647298,232.18064329198202,-0.18969408239072408,-0.20394960769065199,-0.17226276016468467,-2.917974279582167,0.7553326011496244,-0.06097968184862154,0.09543254544951169,-0.4057522906269703,-0.08510614903448085,-1.4105904773857434,-1.452842396556316,-0.7353422524132466,-0.2936594685246114,-0.5065903710659961,-0.0029299156831466486,-0.22583792377089454,-0.11063058515118317,-0.3427443056098636,0.0020504620957212624,-1.3299959262694825
177,2017/11,264.10049442291256,265.98144375915524,254.14379466756185,188.8118426925659,298.29689358266194,264.060483732605,277.4105940958659,257.74192364527386,271.4075942433675,229.58624325612385,229.3865952758789,256.69680363082887,268.2404943211873,256.4392036272685,269.93789427948,264.3070437360128,259.13249454498293,262.82768371556597,267.557394337972,232.6148832979838,-0.1915617240578021,-0.16789082108447828,-0.4910069380122857,-2.821058382949428,0.8368862872785993,-0.2339353354999986,0.20873613991877718,-0.45117370954492614,0.028197445434782923,-1.4191939773479185,-1.2355734159531666,-0.48710597409283496,-0.06705227958608212,-0.49596251817154385,-0.01600340735267577,-0.22545835759609015,-0.34097305742386336,-0.27632022501954084,-0.08759633792391482,-1.3150663233939437
178,2017/12,267.8678943303426,266.36048376439413,245.7602948735555,193.12112275212604,295.62659364827476,259.50464366963706,281.69549399058025,255.66272361653648,273.51899419148765,228.9606432474772,245.26349488576253,261.0944036916097,274.6574941635132,255.61120361582437,268.0334943262736,264.6603237408956,251.90819472249348,266.0440037600199,260.80919450378417,234.24880332056682,-0.07825812958853662,-0.15485904908294662,-0.7431385630675172,-2.6729010527184385,0.7565776955943414,-0.3905696436348968,0.33760341494700574,-0.5226586724659413,0.09169726211536075,-1.4407027272533568,-0.7580796964041235,-0.3359121144634297,0.12593735934508363,-0.5244299812816847,-0.073277751809667,-0.2133122400024321,-0.5582420380270144,-0.16573994609393447,-0.2905467324128181,-1.2588905295232689
179,2018/01,276.8930941085815,265.13504374745685,235.49309512583415,199.25568283691405,294.65369367218017,255.1254436091105,286.9946938603719,252.64144357477824,269.441094291687,229.0600032488505,258.53219455973306,263.12944371973674,275.87879413350424,254.56608360137943,263.1482944463094,265.8747237576803,248.05799481709798,269.9448038139343,254.04029467010497,237.0860833597819,0.19317245935981067,-0.19699089448595325,-1.0519219853573807,-2.4619887815868755,0.7273179761434865,-0.541130892972966,0.49697550387080625,-0.6265332823033826,-0.030944540689282922,-1.4372866316801398,-0.35902692687226384,-0.2659454162416222,0.16266764546424045,-0.5603622458295916,-0.22019889628629602,-0.17155996077422792,-0.674035821385713,-0.03162656433061295,-0.494119674124079,-1.161342022599193
180,2018/02,285.00749390920004,262.4633637105306,220.05089550526935,208.13552295964558,289.9961937866211,251.56688355992634,289.4786937993367,249.17488352686564,255.86189462534583,231.57344328358968,265.57019438680015,263.9169637306213,271.655994237264,254.27168359731036,258.05609457143146,268.00176378707886,248.5133948059082,273.7646438667297,248.84459479777018,240.8470434117635,0.43721097052438107,-0.2888459087880013,-1.5163422132368938,-2.156691054987918,0.5872448511128033,-0.6634777233174299,0.5716811705538368,-0.7457170611911642,-0.4393355185565234,-1.3508720658835847,-0.14736087127034,-0.23886969577242426,0.0356680121030865,-0.5704840104909765,-0.37334551298651164,-0.09843021109573812,-0.6603397824938237,0.09970333215082869,-0.6503790269360862,-1.0320364790500285
181,2018/03,289.3751938018799,259.01888366292314,210.54959573872884,218.7008031056722,280.1636940282186,249.76368353500365,284.7176939163208,246.56208349075317,236.73509509531658,237.48720336532594,270.3518942693074,263.85440372975665,258.7184945551554,256.2772836250305,256.97969459788004,270.31648381907144,252.59129470570883,276.85952390950524,244.95299489339192,245.30352347335815,0.5685684344420453,-0.40727055532618006,-1.802091388299489,-1.7934462257025447,0.29153492049246904,-0.7254735318683991,0.4284953094113605,-0.8355477225609362,-1.0145691520158646,-1.1475511182480587,-0.0035524629055059924,-0.2410205707629681,-0.35342400187103656,-0.5015294887353056,-0.4057179685491582,-0.018847836445616866,-0.5376979796891801,0.20610838315361618,-0.7674179047395027,-0.8788182664883473
182,2018/04,293.20469370778403,254.89360360590615,212.41259569295246,228.9422432472229,266.50169436391195,250.38192354354862,278.6732940648397,245.01648346939086,225.90899536132812,245.32560347366334,281.0330940068563,261.889283702596,254.4335946604411,259.04096366322835,256.6070946070353,272.6974438519796,259.50509453582765,278.72528393529257,240.15059501139322,250.61008354670207,0.6837396705783854,-0.5491017826438052,-1.7460621382872155,-1.441335337544693,-0.11934624626420373,-0.7042178260794937,0.246711520482651,-0.8886869870331956,-1.3401613493094107,-0.8780591341387434,0.31768190383153067,-0.3085833498776981,-0.48229127689926515,-0.4065114229765752,-0.4169238185516127,0.06301193525331697,-0.32976720742140886,0.2702550666951283,-0.9118488603266968,-0.6963734584669232
183,2018/05,290.2859937795003,251.29088355611168,210.67379573567706,239.48544339294435,256.15169461822506,252.84752357762653,271.8836942316691,244.68160346476236,222.3071954498291,253.8080035909017,294.4880936762492,257.5395236424764,255.9860946222941,261.5360036977132,256.4828946100871,275.10048388519283,263.16899444580076,279.93600395202634,233.15399518330892,257.1568036371867,0.5959605122258222,-0.6729668776874749,-1.798356104965338,-1.0788496406089232,-0.43061985744350284,-0.6194480470404151,0.04251603154903073,-0.9002004943355186,-1.4484845659998065,-0.5864257898326529,0.7223375983646185,-0.45813242274962684,-0.4356002352223708,-0.32072946747135617,-0.4206591018857636,0.14563083930185175,-0.2195763490639384,0.3118808238650637,-1.122269821483902,-0.47129071680942336
184,2018/06,281.7782939885457,249.19696352717082,210.46679574076333,250.0691235392253,252.46709470876056,255.9608036206563,266.99849435170495,245.21520347213746,222.53489544423422,262.24624370752974,303.43049345652264,251.59632356033325,259.73279453023275,263.3576037228902,258.07679457092286,277.2201639144897,261.575094484965,281.4374439727783,223.5698954188029,265.4147237513224,0.3400936038364397,-0.7449579288415603,-1.8045815771889238,-0.7149722010322127,-0.5414332630233327,-0.5124103857462935,-0.10440511292759658,-0.8818547958867617,-1.4416365465538614,-0.2963107102257693,0.9912779984235319,-0.6624655468512914,-0.32291918797546465,-0.2581010486290518,-0.3727229657641523,0.21850754486380788,-0.2675124851855497,0.36350182363811534,-1.410509185435932,-0.1873752180576395
185,2018/07,268.88219430541994,249.39200352986654,213.6545956624349,260.0897636777242,251.43209473419188,259.2617636662801,263.2310944442749,246.41856348876954,227.99969530995688,269.71296381073,307.6118933537801,244.90976346791587,261.2231944936117,264.91792374445595,261.4301944885254,278.74368393554687,254.76479465230307,284.1459240102132,217.87739555867512,274.68096387939454,-0.04775331569296468,-0.7382522597533943,-1.7087093049456994,-0.37045263637039955,-0.5725606241412623,-0.3989200994805384,-0.21770870739686207,-0.84048208283336,-1.2772840798511922,-0.03959745400145019,1.1170325373399672,-0.8923561267229463,-0.2780957879656449,-0.2044556959237232,-0.27187031574206,0.2708876769864644,-0.4723305213415276,0.4566220585228375,-1.5817096715845462,0.13120732465938306
